,original,clase
191,"Avui, #DiaMundialAutisme, em comprometo a treballar decididament per una societat plenament inclusiva, on tothom tingui els seus drets i oportunitats garantides. https://t.co/4LBbMZT3sS",igualtat i feminismes
192,"«Los hijos de los que protagonizaron la guerra fratricida optaron por la reconciliación y su obra fue la Transición. Ahora esta ley les presenta el dilema a los nietos: o las dos Españas o la reconciliación.»

Contra la involución, esto de Eugenio Nasarre. https://t.co/SY4z4uDhJq",interior
193,"España está apoyando a Haití tras el último terremoto. Colaboramos con la @ifrc y trabajamos en el terreno para mejorar el acceso a agua potable. Además, hemos enviado 10 toneladas de material médico. La cooperación internacional es clave para que el pueblo haitiano se recupere.",accio exterior i govern obert
194,Bon dia @maticatradio i @albertsegura_ potser cal que llegiu aquest tuit per informar millor sobre el que ahir va aprovar el Congreso en relació a les interines i interins. https://t.co/lnNmhpg08f,presidencia
195,"Esto es lo que viene, y los mecanismos de ayuda a las empresas sin avanzar. Mucha urgencia para los RDL y mucha incapacidad para su diseño e implantación. Mientras tanto muchos puestos de trabajo en riesgo que no podrán ser enmascarados con Ertes infinitos https://t.co/5nrkUctPj3",empresa i treball
196,@JorLopezP @victorayora El del BUP y el COU también fue el modelo del PSOE hasta el curso 93-94. Mezcla usted etapas por puros prejuicios.,educacio
197,"Este escombro, que se hace llamar periodista, compara a Vox con la invasión islámica de los talibanes en Afganistán.

Lo dicen los mismos que promueven y blanquean la islamización de Cataluña que tanto daño esta causando ya en nuestra sociedad.

Colaborador de TV3, cómo no. https://t.co/uCK8faZw2Z",accio exterior i govern obert
198,"Un honor haver rebut a la Casa de la República el MHP Pere Aragonès, i l'agraïment per la cordialitat en la conversa que hem mantingut. Gràcies per venir fins a Waterloo i enviar un missatge de suport i reconeixement a la lluita des de l'exili. https://t.co/iX530axUOg",presidencia
199,"Su Gobierno es una jaula de grillos incapaz de gestionar nada pero Sánchez sigue de vacaciones. 

Debe comparecer en el Congreso como hacen en otros países y poner orden en el caos del precio de la luz, las normas antiCovid, la crisis migratoria en Ceuta y la salida de Afganistán",presidencia
200,Moltíssimes gràcies per totes les mostres de suport. Continuarem lluitant i persistint fins que guanyem. Cuideu-vos molt i cuideu les persones que estimeu. Us estimo.,presidencia
201,@MiquelCat2 @vox_barcelona @Igarrigavaz Sí.,autopromocio
202,"@perearagones @JosepGCambray @AjCMalavella @Vilablareix_cat El #conseller @JosepGCambray, s'ha referit a les obres dutes a terme aquest any en un total de 435 centres. ??""Aquestes actuacions se centren en les obres de rehabilitació i modernització dels centres ja existents, i en la millora de l’eficiència energètica d’edificis antics"" https://t.co/RUOIJExOHU",educacio
203,Ha estat un plaer!! Moltes gràcies per l'estona i el treball. Estic convençuda que podrem avançar plegades. https://t.co/mLolosfLRN,autopromocio
204,"Estamos viviendo una situación dramática en ????.

La sociedad ???? y los socialistas una vez más responden a la altura de las circunstancias: Con ??????????????????????.

El Sr. Casado sin embargo se centra en atacar al gobierno.

?? @Adrilastra 
?? @_JuanEspadas 
?? Félix Bolaños https://t.co/gQGLnSd72E",presidencia
205,"La seva veu és una de les bandes sonores de la meva infantesa. Les seves cançons en vinil reproduïdes en toca-discos poc sofisticats eren presents a casa, al costat d’altres que avui salvem de l’oblit gràcies a una tecnolgia que ha superat el CD… però que ha revifat el vinil. https://t.co/U0h3Oq2lwd",cultura
206,"Estamos recorriendo la provincia, hablando con ganaderos, alcaldes y tanta gente afectada. Una gran desolación. Vamos a hacer todo lo que esté en nuestra mano para que la provincia pueda recuperarse de esta devastación. https://t.co/FavGjfAvPE",autopromocio
207,"Si fóssim independents faria anys que tindríem un hub intercontinental.  Treballo per les dues coses, la independència i un aeroport que sigui més verd i menys lowcost: com el país que somio, una Catalunya digital, verda i de progrés. No és incompatible, ans al contrari.",vicepresidencia i politiques digitals i territori
208,"‼️ Ninguna casa del parque público permanecerá vacía.

La adjudicación de viviendas públicas será mucho más ágil y ordenada. A partir de ahora será cuestión de días que una nueva familia con necesidad pueda contar con un techo donde alojarse.

??¿Cómo lo haremos? ⬇️ https://t.co/oaXgyPPPDY",drets socials
209,"??️ Separatistas, ‘comunes’ y PSC rechazan garantizar la neutralidad ideológica de las universidades catalanas

@ManuelAcosta69: ""Este voto en contra es una muestra más del pensamiento único que acalla la capacidad crítica de las personas"".

#SoloquedaVOX
https://t.co/23yAKD3jII",recerca i universitats
210,?? El #president @perearagones ha assistit a l'acte d'entrega del #PremidHonor de les Lletres Catalanes a l'escriptora Maria Barbal @omnium https://t.co/8bQSQe2QBt,cultura
211,"Ya lo advertimos en 2019...  

Nos comprometemos a derogar la totalitaria Ley de Memoria Democrática. https://t.co/uRh2rfeORl",presidencia
212,"??El 23 de agosto de 1888 se celebró el 1º Congreso del @PSOE teniendo lugar en el primer piso del número 12 de la barcelonesa calle de la Aurora.

El próximo mes de octubre se celebrará el 40 Congreso.

@Adrilastra 

#siempresocialistas

Leer más: https://t.co/A6t9RZ0bXm https://t.co/toBxtQW5uB",autopromocio
213,"""Europa tiene que continuar extendiendo los derechos humanos, pero a la vez evitar que Afganistán se convierta en una plataforma de exportación de terroristas"". 

La prioridad actual es el retorno de los europeos y de los colaboradores afganos.

??️ @DolorsMM en @HerreraenCOPE",accio exterior i govern obert
214,"La riqueza y belleza de España es única.

VOX prepara #VIVA21 ????, un acontecimiento que permitirá a los españoles disfrutar de esa riqueza y esa belleza en un mismo recinto donde estarán todas las provincias representadas. 

Resérvate el 9 y 10 de octubre https://t.co/N7GPfpLrND https://t.co/RnOwet5mA9",autopromocio
215,El president Aragonès no pot deixar la cadira buida en una Conferència de Presidents on es tracten temes fonamentals sobre la pandèmia i la recuperació econòmica. Avui Catalunya ha estat l'única Comunitat Autònoma que s’ha quedat sense veu i sense representació. És inconcebible.,presidencia
216,"Los jefes de Sánchez en ERC dicen sobre el cambio de gobierno que lo importante no es quién sino qué, exigen autodeterminación y amnistía, y volverán las protestas callejeras si no les perdona sus multas.
 
Aunque cambie los peones siguen reinando los que quieren romper España. https://t.co/84M0wjhjUk",presidencia
217,"Molta sort i encerts, @LuRavetllat, en aquesta nova etapa! https://t.co/TALN39xGVQ",autopromocio
218,Una lección magistral de derecho y de politica democrática. https://t.co/NSlksnZMq3,autopromocio
219,"Una mujer ha sido asesinada en Sevilla por su pareja. En las últimas semanas, la #ViolenciaDeGénero nos golpea con más fuerza. No podemos permitirlo. Sigamos trabajando en educación y prevención para acabar con todo tipo de violencia contra las mujeres. 

Mi cariño a su familia. https://t.co/0WjRN9zZo1",igualtat i feminismes
220,Dos mesos després dels indults als presos independentistes: adaptació i plans de futur https://t.co/yOtEhjdYMd https://t.co/v3G4SF1xHE,presidencia
221,"??[VÍDEO] Demà fa 2⃣ mesos que els??️ presos i preses polítiques van sortir de la presó

??️@ForcadellCarme i @junqueras han explicat a ??@tv3cat com han sigut les primeres setmanes i quins plans de futur tenen ?? https://t.co/55JDFubfTl",presidencia
222,"""El País"" está más cerca de Kabul que de Occidente.

Pretenden borrar la libertad y hasta el recuerdo de ella.

Esta es la memoria histórica que imponen para allanar el camino a la dictadura progre, aliados siempre con el islamismo o cualquier otro enemigo de nuestras raíces. https://t.co/ioUIxhALZE",presidencia
223,"O s'adopten mesures contra els patronats d'hospitals que promouen objeccions de consciència col.lectives o no avançarem en la garantia del Dret a l'#Avortament.
Afortunadament, avui s'ha aprovat acabar amb els concerts amb qui vulnera els nostres drets sexuals i reproductius! https://t.co/I7tNtYHD92",salut
224,"A l’acte oficial de commeració de la proclamació de la II República , al poble vell de Corbera d’Ebre. https://t.co/nUwSNEPY6o",presidencia
225,Hay alternativa. Hay esperanza. El cambio avanza. https://t.co/fzkfysmpxx,autopromocio
226,"?? Avui a les 22h no et perdis l'entrevista de Gustau Moreno a Oriol Junqueras a Canal 21 Ebre. 
@junqueras @Esquerra_ERC @ERCEbre https://t.co/EjDHgnIQx0",presidencia
227,"Tinc interès a llegir les cròniques dels opinòcrates del règim, a veure si amb @sanchezcastejon són tan contundents com quan ho van ser amb la remodelació del govern del president @QuimTorraiPla. No sigui que el que eren “purgues estalinistes” ara potser siguin “cops d’autoritat”",presidencia
228,"??EN DIRECTO
La portavoz el Gobierno y ministra de @territorialgob, Isabel Rodríguez, comparece en rueda de prensa para explicar los acuerdos del #CMin. https://t.co/gordp3Id9S",vicepresidencia i politiques digitals i territori
229,"Tot el suport a les convocatòries #XustizaParaSamuel #JusticiaperaSamuel 

Justícia i memòria per totes les persones que pateixen i han patit l'homofòbia i el feixisme. https://t.co/ma08wQOsNg",igualtat i feminismes
230,"Malgrat tot el què ens està passant m’agradaria explicar-vos, ràpidament i en un fil, una cosa que està a punt de passar i que pot ser molt lesiva pels interessos de Catalunya. S’està tramitant una Llei de l’Audiovisual que pot ser demolidora pel país. 1/14",presidencia
231,"Hoy la ministra de Igualdad @irenemontero ha presentado el #PuntoVioleta ??

Una guía contra la violencia machista que ayudará al conjunto de la sociedad a saber cómo actuar ante un caso de violencia contra la mujeres. https://t.co/4LUUbWdvw6",igualtat i feminismes
232,"El Govern escondió tres hidroaviones mientras culpaba ""a España"".

Su sectarismo y su odio es capaz de cometer las mayores tropelías. 

Lo hicieron con nuestros mayores en la pandemia y ahora con la naturaleza.

¡No habrá impunidad! https://t.co/mJdifk2T9E",interior
233,"??US compartim article que avui publica @SEGREcom??
#LleidaImplicada??
https://t.co/OGmmHTh3Ii",autopromocio
234,"Y, como no recordar ahora, con dolor, a los soldados y policías que perdieron la vida en esa tierra, y cuyo sacrificio han traicionado las instancias supranacionales, siempre temerosas de ofender al islamismo radical.",interior
235,Gracias Luis. https://t.co/fEn4t8yMDw,autopromocio
236,@IbaiLlanos monta un partido político con @3gerardpique y te juro que ganáis las elecciones en Catalunya de calle. #DebatTV3,autopromocio
237,"?? Gobernar por y para la gente.
?? Gobernar desde la izquierda.
?? Gobernar sin odio.
?? Gobernar con progresismo.
 
#EspañaSinOdio https://t.co/U0S8PA6k5A",presidencia
238,"La Fundación Arrels ha detectado un total de 1.064 personas durmiendo en las calles de la ciudad de Barcelona. 

Los separatistas y Colau hablan mucho y hacen poco. Su cinismo e hipocresía no tiene límites. 

@VOX_Cataluna pediremos explicaciones y exigimos una solución.",drets socials
239,"Les @LasKellysBCN han creat un crowdfunding per tirar endavant una plataforma on reservar hotels que garanteixin els drets laborals del personal de neteja

Nosaltres ja hem fet la nostra aportació a #YoReservoConLasKellys

Vols ajudar? Encara ets a temps??
https://t.co/aYqvELjuJW",drets socials
240,"A pesar del esfuerzo para transformar el mercado eléctrico y así acabar con los récords de la luz, el Gobierno debe ser consciente de que tenemos que hacer más.

Desde UP proponemos limitar el precio a la energía nuclear e hidroeléctrica para bajar de forma inmediata la factura.",economia i hisenda
241,"@gloriasantiagoc Querida Gloria, lo siento mucho. El hecho y la respuesta. ??
Hay iniciativas contra las agresiones sexistas en el Camino, con mapa de albergues seguros  https://t.co/pO3Hg1nUFL que precisamente recomiendan llamar al 062, 112 y @alertcops 
Te mando un abrazo enorme. (Y un DM) https://t.co/wrvwVgzYAA",igualtat i feminismes
242,"Hoy he tenido el honor de acompañar a @CaneteFilo en su toma de posesión como Alcaldesa de Sant Adrià del Besòs.

La primera Alcaldesa de @AjSantAdria tiene el reto de continuar el gran trabajo que ha llevado a cabo el compañero y amigo @JCallauBartoli.

Mucha suerte compañera ?? https://t.co/zqMAdUn2E6",autopromocio
243,Esquerra Republicana i Junts tanquen un preacord de govern: “Posem en marxa la nova Generalitat republicana” https://t.co/UcuTgOjZgZ,presidencia
244,"Al irse Iglesias queda claro que el radical y mentiroso compulsivo era Sánchez. Sus juegos de trilero ya no los cree nadie. 

Su falso consenso excluye a media España, solo negocia con los que quieren destruirla: delincuentes que dan un golpe al Estado y defensores de terroristas https://t.co/I4nfUukNjw",presidencia
245,"??Entrevista a @alejandroTGN en @EPCatalunya @europapress 

?? “La estabilidad política es necesaria y la Constitución es lo único que ha funcionado. Cualquier aventura fuera de la Constitución no resolverá el problema, sino que lo agravará""

https://t.co/y9qYpItDOb",presidencia
246,"Cuatro años de los atentados de #Barcelona y #Cambrils. Nuestro recuerdo y homenaje a las 16 víctimas, a los más de 150 heridos y a sus familiares y amigos.

Seremos intolerantes frente a los que quieren sembrar el terror y cambiarnos como sociedad. 

#17A #17agosto https://t.co/FDyRJZOnkz",interior
247,"Hem de posar fi a les violències masclistes. Prou feminicidis. Vull expressar el més sentit condol a la família de la víctima. Des del Govern, i amb el Departament d'Igualtat i Feminismes al capdavant, treballarem incansablement per acabar amb aquesta xacra. https://t.co/LUf6992dNV",igualtat i feminismes
248,@xavirotb Broncas y monsergas...no falla.,autopromocio
249,"El juliol de 2019 el @parlamentcat va aprovar una proposta de @cupnacional per  iniciar el 2020 els tràmits de redacció del Pla Especial de protecció del medi natural i del paisatge del Parc Natural de l'Alt Pirineu.

 Encara avui està per fer. https://t.co/6sl1lkmIzY",accio climatica alimentacio i agenda rural
250,"⚡️Retornar a Marx⚡️

??️Marcello Musto i @crendueles reflexionen sobre la importància del marxisme com a eina útil avui. Sobre el llegat de Marx i les qüestions claus del seu pensament

??️Dissabte 4 de 10h 12h

https://t.co/eQ4pARkWZo https://t.co/My2yn4i7Wy",autopromocio
251,"??️@salvadorilla sobre l'ampliació de l'aeroport del Prat:

??Catalunya necessita avançar.

✈️I per avançar, necessita que la infraestructura més important que ens connecta amb el món s'adapti al ritme de creixement que Catalunya ha de tenir.

#PSC/❤️ https://t.co/EAKW9d1pnq",vicepresidencia i politiques digitals i territori
252,?? Hot off the press: “Weekly newsletter of Carles Puigdemont - Issue #3” https://t.co/K6ftlu3rfC (via @revue),presidencia
253,"Tots i totes som vulnerables. Les paraules de Simone Biles després d'abandonar la final de #Tokyo2020 obren un debat indispensable i diu les coses pel seu nom: la salut mental és salut.
El que ha aconseguit avui és més important que cap medalla.
Que et recuperis aviat! https://t.co/IXb0kW59HB",salut
254,"?? @Pam_Angela_: ""Ya no solo hay hombres con traje haciendo política. Se está empezando a ensanchar la política. Eso pasa porque haya bolleras, maricones, gitanos, negros que hacen política, y eso en nuestro país sigue siendo revolucionario"". https://t.co/KFQBmau6rN",igualtat i feminismes
255,".@PareraEva sobre los avales a los embargados del Tribunal de Cuentas: ""Es nuestro dinero. Es una prevariación como una casa"" https://t.co/mfw3WSnzR3 @alejandroTGN @PPCatalunya @enoticiescat",justicia
256,"Recordamos a las víctimas en el cuarto aniversario de los atentados de #Barcelona y #Cambrils. Todo nuestro apoyo y solidaridad a sus familias.

Frente al terrorismo, unidad en la defensa de los valores democráticos, la convivencia y la paz.

Siempre en nuestra memoria. #17A https://t.co/K58jUmWyoO",interior
257,"Muchas zonas de España alcanzarán desde hoy temperaturas superiores a 40° y hay alto riesgo de incendios. Seamos prudentes, por nuestra salud, y sigamos las indicaciones de @sanidadgob, @proteccioncivil y de las FCSE, que estos días trabajarán para protegernos ante la #OlaDeCalor https://t.co/wQL2wzDgrk",accio climatica alimentacio i agenda rural
258,"??Ara mateix desnonament il·legal al c/Cera 11! Tothom al #Raval!

Mare amb dos fills pot ser desnonada per la BRIMO https://t.co/Lct504ojvp",drets socials
259,"En aquests dies d’elevadíssim risc d’incendis, com veiem ara mateix al massís del Montgrí, cal extremar la prudència. Sempre al costat dels @bomberscat i els serveis d’emergència. https://t.co/SL8ntG0N1Z",interior
260,"Es un orgullo formar parte de la gran familia socialista y hacerlo de la mano de un partido centenario que no ha dejado de luchar ni un segundo por conseguir más derechos y más libertades que nos hagan tener un país más justo e igualitario.
 
¡Felicidades! 
??@PSOE 
#PSOE_142Años https://t.co/3HCvwmvmt9",autopromocio
261,"Traballamos para acabar co abuso das eléctricas. 

?? A luz é un ben necesario que debe ter prezos razoables. Por iso tamén propoñemos crear unha empresa pública de enerxía que abarate a factura.

?? https://t.co/WkYguy1fua https://t.co/DiISWO2jQ9",economia i hisenda
262,"La vacunación en España avanza imparable gracias al trabajo de los profesionales sanitarios. Más de 29M de personas tienen la pauta completa y nos situamos como el primer país del mundo con el mayor porcentaje de población con una o dos dosis. ¡Seguimos!
https://t.co/uL1L0Uq8vd https://t.co/SR4pBgM3MI",salut
263,"?? Hoy inauguro con el presidente del @EPPGroup, @ManfredWeber, un acto del PP sobre fondos europeos.

?? ¡Sigue mi intervención ???? ??????????????! ?? https://t.co/EFOttAbwBE",autopromocio
264,"?? Vacuna't sense cita 

?? Ho pots fer de 16 a 20 h, en punts de vacunació distribuïts arreu del país 

❗ Els menors de 16 han d'anar acompanyats de la mare, el pare o el tutor/a legal: https://t.co/dsLeKjOGbx

?? Consulta els centres disponibles: https://t.co/SLP01KitWa https://t.co/BhiujWxBmd",salut
265,"Prevenir els incendis també és lluitar de manera clara contra l'emergència climàtica reduint les emissions i això passa per no ampliar l'aeroport o no rescatar la fórmula 1, entre d'altres. Cal una reflexió profunda del govern. https://t.co/OgJfmShV4u",accio climatica alimentacio i agenda rural
266,Fent passos per aturar Torre Salses ?? Tema jurídic farragós ?? mirem de simplificar en un fil ?? https://t.co/zoUqwuzIXm,autopromocio
267,"Afortunadamente para la Humanidad, a Einstein e  Isaac Newton nadie les obligó a introducir la ""perspectiva de género"" cuando alumbraron sus Teorías...",igualtat i feminismes
268,"??Ahir m'entrevistaren al programa @DebatAlRojoVivo al voltant de l'ampliació de l'aeroport del Prat.

Tenim clar que, un projecte econòmic com aquest representa el model del passat. 

El futur de l'economia, com diu Europa passa per la descarbonització⛽?? https://t.co/vqkHzom1rO",vicepresidencia i politiques digitals i territori
269,"El juliol el @parlamentcat va aprovar una moció de @cupnacional per la creació d'una energètica pública. 

És un dels acords del pacte de mínims amb ERC.

Avui hem fet un petit pas

https://t.co/xA2wwSzMqW",empresa i treball
270,"@ot_manresa @mhp_LauraBorras Gràcies a vosaltres, Ot, a tu!",autopromocio
271,?? Enhorabuena a @tiraora y a @AlbertoFdezTiro que hoy han conseguido para España el primer oro olímpico ??  en estos juegos en la modalidad de tiro mixto. Sois un orgullo y un ejemplo para nuestro país ¡Felicidades a los dos! ?? https://t.co/3QJc1GqVy5,salut
272,"L'exdiputada de la @cupnacional i exiliada política, Anna Gabriel, participa en l’acte del 60è aniversari d'@omnium que s'està celebrant a Elna, a la Catalunya del Nord, Països Catalans #Òmnium60 #Amnistia

?? Fotografia @jordiborras @MonDiari https://t.co/dDmJQo8jFk",cultura
273,Què han estat aquests 40 anys de @firatarrega sinó quatre dècades posant-nos davant del mirall? Per molts anys! https://t.co/BRkXrZX2Sg,autopromocio
274,"#Catalunya compta, el Govern compleix i l'escenari és esperançador. 
Us deixo l'article que em publica @LaVanguardia en relació a la implicació del Govern per enfortir l'economia i l'estat del benestar.

https://t.co/uvbIoxuGly https://t.co/kguA67n8XY",economia i hisenda
275,"Molt content per a en Xavi i en Carles. S'ha tardat massa a aturar aquesta cacera. Mai no han comès un sol delicte, i sempre han estat uns servidors lleials. https://t.co/J50rjJYxzD",justicia
276,"Fent ràdio. 

Sempre és un plaer entrevistar-la, @mhp_LauraBorras. Gràcies per la visita a #Tordera. https://t.co/ZAygqCqgbo",autopromocio
277,"▶️ @JessicaAlbiach: ""Hem de fundar un nou pacte territorial que compti amb Catalunya, el País Valencià, les Balears, i amb tots els territoris que han patit les conseqüències d'un model centralista i recentralitzador. Treballem per avançar amb més i millor autogovern"" https://t.co/CowKiQjI47",presidencia
278,"Les festes major són salut mental col·lectiva, poble i carrer #ÉsFestaMajor 

@albertbotran escriu un elogi a les festes majors a @ElTemps_cat 

https://t.co/fMBRksgNOf https://t.co/82OiyQEut8",salut
279,"Avui amb l'@aliciarll hem visitat el @BSC_CNS, on s'instal·larà el supercomputador europeu Mare Nostrum 5.
La inversió en ciència és important, però cal reforçar la innovació perquè hi hagi un impacte en el territori, generant llocs de treball i riquesa. https://t.co/JaMiJ4ls8g",vicepresidencia i politiques digitals i territori
280,"??Som a les portes del TSJC, a Barcelona, fent costat a @Pol_Absolucio, a qui la Fiscalia demana 8 anys de presó per protestar??️ durant la vaga general pel judici de l’1-O

No estàs sol, Pol!✊ https://t.co/vvyvkvXvPb",justicia
281,"?? @DolorsMM recuerda que el Partido Popular ha puesto soluciones encima de la mesa para abaratar el recibo de la luz hasta un 20%, aunque Sánchez las ha rechazado. https://t.co/P00LgVhJrp",economia i hisenda
282,"Si el Mar Menor estuviera en otra CC.AA. no habría tardado nueve días en hacer acto de presencia un miembro del Gobierno de España y seguro que lo habrían declarado zona catastrófica”.

?? @LopezMirasF en @EstadoDAlarmaTV https://t.co/hR1iuFaojE",accio climatica alimentacio i agenda rural
283,"Defensant el dret a l'habitatge sempre. 

El dret a l'habitatge i el dret a la protesta, a l'organització popular, a la resistència i la lluita pels drets de totes.

Matí a la ciutat de la justícia fent costat al @SindicatLloguer assetjat judicialment #PerquèHemGuanyat https://t.co/fy28UniCiJ",drets socials
284,"Diumenge de bon temps i de tornar-ho a dir ben alt, malgrat el feixisme i la dreta rància rabiïn: amnistia, autodeterminació i independència. Sense cap por i amb tota la convicció.",presidencia
285,"Termina la XXIV Conferencia de Presidentes/as. La vacunación, la gestión de los fondos europeos para la recuperación y el reto demográfico han sido hoy los temas de trabajo. Reuniones como esta son imprescindibles para dar respuesta a los problemas reales de la ciudadanía. 1/5 https://t.co/RgB6dyEUJf",salut
286,"Vivir mejor, pero con menos @herrerajoan @RevistaAlterEco “…La transición verde… necesita de una potente transición justa, concreta y cuantificada. No solo como un elemento de equidad, que también, sino como elemento imprescindible para su desarrollo.”  https://t.co/KIXhlk7Ago",accio climatica alimentacio i agenda rural
287,"Apoyamos la declaración de zona catastrófica al incendio de Ávila, tal y como pedimos hace una semana.

Las ayudas deben llegar pronto, con bajadas fiscales, avales ICO y una modificación de la Ley de Montes para que los ganaderos puedan acceder a la PAC con sus pastos quemados. https://t.co/CBD7KwSctk",interior
288,"Avui, amb la @jfreixanet, hem assistit a la taula rodona 'L’espoliació patrimonial' del @museudelleida. Amb @lojoan, @velasc_alberto, Carme Berlabé i el Bisbe de #Lleida, Salvador Giménez, organitzada en el marc de l'@UCE_CAT. https://t.co/kLzzzcj27G",cultura
289,"??Pelea a cuchillazos en la calle Tallada de Lérida. La delincuencia y la immigracion ilegal han sumido el casco histórico en un lugar peligroso para los vecinos. 

✅Sólo Vox está dispuesto a recuperar la seguridad en nuestros barrios, aunque les moleste a los medios progres. https://t.co/aHF0Goc9T7",immigracio
290,"Estos días ha salido a la luz cómo Iberdrola vacía embalses extremeños, provocando desabastecimiento de agua en varios pueblos, para beneficiarse aún más con la subasta de la electricidad. Es inadmisible. Denunciamos este abuso ante la Comisión Europea: 

https://t.co/DsHzO1VPNr",accio climatica alimentacio i agenda rural
292,"?? @lciuro al @maticatradio: ""Només el 7% de les sentències són en català. Volem despertar vocacions de jutges catalans, perquè els advocats se sentin segurs de fer escrits en català"". https://t.co/o3eSLAnFuM",cultura
293,"Enhorabuena a @cabello93 por su medalla de oro y récord mundial en la contrarreloj de ciclismo en pista?? 

Y a @mluque76 y @tponce87 que se han colgado la plata en natación????

No hay barreras para hacer realidad los sueños de estos grandes deportistas ????

#TeamESP????
#Tokio2020 https://t.co/L1kvnGiyX5",salut
294,"Ja sigui amb la llengua o amb l’autodeterminació, no ens podem quedar aturats en la defensa. Des d’aquesta posició no construirem mai res. Defensar i construir: tàctica i estratègia. I una de les majors eines per poder-ho fer és empoderant a la ciutadania #UCE2021 https://t.co/xOlWtqullV",cultura
295,Seguimos trabajando por el cambio. https://t.co/7yPmgqIhQA,autopromocio
296,"¡Espectacular, Maialen Chourraut! 

Tercera medalla consecutiva en unos Juegos Olímpicos para una leyenda de nuestro deporte en el K1 Slalom y tercera medalla para España en #Tokyo2020.

Enhorabuena por la plata, @MChourraut.

#ElCorazonDeEspaña https://t.co/67NwoqT3IG",salut
297,"Visita de treball al @PP_LLEIDA amb el President @xavipalaulleida, el Sec General Joan Simeón, i el ViceSec Jordi Guix

@PPCatalunya https://t.co/rixGxdjlQx",autopromocio
298,"Enriquidora visita institucional a les Illes Balears, constatant els llaços d’unió amb Catalunya. He compartit amb la presidenta @F_Armengol i el @cerclemallorca el model d’Espanya diversa i dialogant que cal consolidar, i he agraït la tasca de l’equip de la consellera @patgompic https://t.co/PORSrlAsiw",autopromocio
299,"??️@salvadorilla al 17é Congrés Nacional de la @jsccatalunya:

??El que més caracteritza l'esperit socialista de l'@arnauramirez és que quan el partit li va demanar que fes un pas al davant per cobrir un forat que hi havia a un municipi, ho va fer"".

#PSC/❤️ https://t.co/MRGGps5afU",autopromocio
300,Y no porque lo diga @JavierLezaola. Dicen los letrados del congreso y los partidos monárquicos que eso es exactamente lo que pone en el artículo 56.3 de la constitución española. https://t.co/VaEba2k4Bc,justicia
301,"?? En uno de los momentos más difíciles, la UE ha demostrado ser una historia de éxito. Capaz de conseguir tres hitos históricos: vacunación, certificado y fondos de recuperación.

???? ¡Necesitamos más Europa!

??️Nuestra portavoz @DolorsMM en @diariofarma https://t.co/QoBWM1Tezw",salut
302,"⚠ Màxima prudència davant l'onada de calor ?? i l'alt risc d'#incendi ?? els pròxims dies 

❌ No surtis a l'exterior durant les hores de més calor i hidrata't molt sovint 

?? Evita l'accés al medi natural

?? Si veus una columna de fum, truca al @112

https://t.co/bZbLqzO6MR",salut
303,"Nos ha dejado Pilar Bardem, una mujer que ha sido ejemplo de la importancia del cine y del humor en nuestra vida. Una maestra en su compromiso con la cultura y su lucha por un mundo mejor. 

Todo mi cariño para familiares y amigos. Te recordaremos siempre. https://t.co/neLqAUTuMZ",cultura
304,"Espanya i el seu Govern, exemple de solidaritat i acollida: https://t.co/ZdjCSdmIBR",immigracio
305,"Avui 25 d’abril és el dia del País Valencià, el dia de l’alliberament d’Itàlia i el dia que commemorem la Revolució dels Clavells de Portugal. Tres dies nacionals que tenen la seva pròpia banda sonora que s’han convertit en cançons de llibertat. Ho explico a aquest vídeo ⬇️ https://t.co/cOJEPzMEDI",cultura
306,"Mientras algunos se empeñan en hablar de “plena normalidad democrática”, la huida de Juan Carlos I supone, a todas luces, una grave anomalía democrática en España que produce un enorme descrédito de las instituciones.",presidencia
307,"Aquesta tarda m’he reunit amb el comitè d’empresa de Bosch a Lliçà d’Amunt.
Catalunya necessita un teixit industrial fort, i el sector de l'automoció és clau per al nostre progrés econòmic.
Els i les @socialistes_cat estem al costat dels treballadors i treballadores. https://t.co/cIm3g2Okh8",empresa i treball
308,"Avui hem participat en la manifestació amb l'associació de Afghans de Barcelona en la Plaça Sant Jaume de Barcelona.  Centenars de persones, que viuen a Catalunya, han demanat la protecció i evacuació de les seves famílies que s'han quedat a l'Afganistan. https://t.co/4SRryiGgdZ",immigracio
309,"Si el teu model de negoci no aguanta uns drets laborals bàsics al s. XXI, potser no estem parlant d'""innovació"" i estem parlant d'una altra cosa https://t.co/p89csfpxdx",empresa i treball
310,"?? @Santi_ABASCAL sobre la imposición del pasaporte Covid en hostelería:

""Es una salvajada que no van a aceptar ni los que eligen vacunarse"". 

⬇️⬇️⬇️ 

https://t.co/kZLlSmFYeY",presidencia
311,"Lucidesa i claredat, mai més ben dit.
Cal un canvi estructural al sistema energètic i que torni a ser públic allò que cal pel bé comú.
Bona feina @gabrielrufian @MartaRosiq ?? https://t.co/KiP3vW3WLV",accio climatica alimentacio i agenda rural
312,"?? VOX se opone a la #OrdenanzaMovilidadSostenible: #NoAlMadridCentral

??Plantea los mismos errores que el #MadridCentral de la izquierda

??Es una normativa que demoniza el vehículo privado, prohíbe, sanciona y adolece de falta de alternativas reales

https://t.co/uVPKIaZ5bC",presidencia
313,"Avui el “Tribunal” de Cuentas comunicarà la quantitat de diners que ens volen robar. Una quantitat que ja ha explicat abastament la premsa, amb tot luxe de detalls. Coses de la democràcia espanyola, on el franquisme continua viu perquè el cap de l’Estat li deu la corona.",economia i hisenda
